stars,review_count,GoodForKids,Alcohol,BusinessAcceptsCreditCards,WiFi,BikeParking,ByAppointmentOnly,WheelechairAccessible,OutdoorSeating,RestaurantsReservations,DogsAllowed,Caters
4.5,154,TRUE,(Missing),TRUE,'free',TRUE,(Missing),(Missing),(Missing),(Missing),TRUE,FALSE
3,84,TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
3,8,TRUE,'none',TRUE,(Missing),(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3,84,(Missing),(Missing),TRUE,'free',FALSE,(Missing),(Missing),FALSE,(Missing),(Missing),(Missing)
4.5,3,(Missing),(Missing),FALSE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4,60,TRUE,'none',TRUE,'no',(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
4.5,11,(Missing),(Missing),TRUE,(Missing),FALSE,(Missing),(Missing),FALSE,(Missing),(Missing),(Missing)
2,59,TRUE,(Missing),TRUE,(Missing),FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
3,169,TRUE,'beer_and_wine',TRUE,'no',FALSE,(Missing),(Missing),FALSE,TRUE,(Missing),TRUE
4.5,731,TRUE,'beer_and_wine',TRUE,'free',FALSE,TRUE,(Missing),FALSE,TRUE,(Missing),(Missing)
4.5,62,(Missing),'none',TRUE,(Missing),(Missing),(Missing),(Missing),FALSE,FALSE,FALSE,TRUE
4.5,85,TRUE,'none',TRUE,'no',TRUE,(Missing),TRUE,TRUE,FALSE,TRUE,TRUE
3.5,32,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),TRUE,FALSE,(Missing),TRUE
4.5,44,(Missing),(Missing),TRUE,(Missing),FALSE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4,12,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
3.5,316,TRUE,'beer_and_wine',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3.5,22,TRUE,'full_bar',TRUE,'free',FALSE,(Missing),(Missing),FALSE,TRUE,(Missing),(Missing)
3.5,193,FALSE,'full_bar',TRUE,'free',FALSE,(Missing),TRUE,FALSE,TRUE,FALSE,FALSE
2.5,3,TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
2,7,(Missing),(Missing),TRUE,(Missing),TRUE,FALSE,(Missing),(Missing),(Missing),(Missing),(Missing)
3,15,(Missing),'full_bar',TRUE,(Missing),FALSE,(Missing),(Missing),FALSE,(Missing),(Missing),(Missing)
4.5,111,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),FALSE
3.5,327,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),TRUE,FALSE,(Missing),TRUE
3,14,FALSE,(Missing),TRUE,'no',(Missing),(Missing),TRUE,FALSE,FALSE,FALSE,(Missing)
2.5,358,FALSE,(Missing),TRUE,'free',(Missing),(Missing),(Missing),(Missing),(Missing),FALSE,(Missing)
3.5,36,(Missing),(Missing),TRUE,'free',TRUE,(Missing),TRUE,(Missing),(Missing),FALSE,TRUE
5,3,TRUE,'none',TRUE,'no',TRUE,(Missing),TRUE,FALSE,TRUE,TRUE,TRUE
2.5,9,TRUE,'full_bar',(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4.5,3,(Missing),(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
3.5,75,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
4,5,TRUE,(Missing),TRUE,'free',(Missing),(Missing),(Missing),(Missing),TRUE,(Missing),(Missing)
2.5,60,TRUE,'none',TRUE,'no',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3.5,71,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
3,7,TRUE,'beer_and_wine',TRUE,'no',(Missing),(Missing),(Missing),FALSE,TRUE,(Missing),(Missing)
3,10,TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),FALSE,(Missing),(Missing)
4.5,14,(Missing),(Missing),TRUE,(Missing),(Missing),TRUE,TRUE,(Missing),(Missing),(Missing),(Missing)
3.5,10,TRUE,'none',TRUE,'no',(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
2.5,11,TRUE,(Missing),TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
4.5,57,(Missing),'none',TRUE,'free',(Missing),(Missing),(Missing),FALSE,FALSE,FALSE,(Missing)
4,1164,TRUE,'beer_and_wine',TRUE,'free',TRUE,(Missing),(Missing),TRUE,TRUE,FALSE,FALSE
3,3,TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
2.5,9,TRUE,'none',TRUE,(Missing),(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
5,6,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4,152,FALSE,'full_bar',TRUE,(Missing),(Missing),FALSE,(Missing),FALSE,TRUE,FALSE,(Missing)
4,36,(Missing),'full_bar',TRUE,'free',TRUE,(Missing),TRUE,TRUE,FALSE,FALSE,FALSE
4,10,(Missing),(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
2,3,(Missing),(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4,152,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
4.5,43,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),FALSE,FALSE
4.5,33,(Missing),'none',TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4.5,144,(Missing),'none',TRUE,(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing)
4,4,(Missing),(Missing),(Missing),'no',(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
5,21,FALSE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),TRUE,(Missing),(Missing)
2.5,11,TRUE,'none',TRUE,'no',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3,66,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),TRUE
3.5,14,(Missing),'full_bar',TRUE,(Missing),(Missing),(Missing),(Missing),FALSE,(Missing),(Missing),(Missing)
1,6,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
1.5,3,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4.5,802,FALSE,'full_bar',TRUE,'free',FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1.5,36,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),FALSE
4.5,177,TRUE,'none',TRUE,'no',TRUE,(Missing),TRUE,FALSE,FALSE,FALSE,FALSE
2,30,(Missing),(Missing),TRUE,'free',FALSE,(Missing),(Missing),FALSE,(Missing),(Missing),FALSE
3.5,1320,TRUE,'full_bar',TRUE,'free',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3.5,47,(Missing),'full_bar',TRUE,(Missing),(Missing),(Missing),(Missing),TRUE,FALSE,(Missing),(Missing)
3,18,TRUE,'beer_and_wine',TRUE,(Missing),TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
3.5,90,TRUE,'none',TRUE,'no',TRUE,FALSE,(Missing),FALSE,FALSE,(Missing),FALSE
4,197,TRUE,'none',TRUE,'free',TRUE,(Missing),TRUE,FALSE,TRUE,(Missing),TRUE
4,688,TRUE,(Missing),TRUE,'free',FALSE,(Missing),TRUE,(Missing),(Missing),FALSE,FALSE
3.5,36,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),TRUE,FALSE,(Missing),TRUE
4.5,174,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,TRUE,(Missing),TRUE
3,26,(Missing),'beer_and_wine',TRUE,'free',TRUE,(Missing),TRUE,FALSE,(Missing),FALSE,TRUE
3,504,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),TRUE,FALSE,(Missing),FALSE
4.5,239,(Missing),'none',TRUE,'no',TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
3,302,TRUE,'full_bar',TRUE,'no',TRUE,(Missing),(Missing),TRUE,TRUE,FALSE,TRUE
3.5,36,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
2.5,3,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4,1050,TRUE,'full_bar',TRUE,'no',FALSE,(Missing),(Missing),FALSE,TRUE,FALSE,FALSE
4.5,23,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
4,82,FALSE,'full_bar',TRUE,'free',TRUE,(Missing),(Missing),TRUE,TRUE,(Missing),FALSE
4.5,3,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
2.5,38,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),TRUE,FALSE,(Missing),FALSE
3.5,376,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3.5,59,TRUE,(Missing),TRUE,'no',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
4,92,TRUE,'none',TRUE,'no',TRUE,(Missing),TRUE,FALSE,TRUE,FALSE,FALSE
4.5,39,TRUE,'none',TRUE,'no',(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
3.5,512,TRUE,'full_bar',TRUE,'no',TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
1.5,86,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
4,4,TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
2.5,75,(Missing),'none',TRUE,'free',FALSE,(Missing),(Missing),FALSE,(Missing),FALSE,FALSE
4,115,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
4,5,FALSE,'full_bar',TRUE,'no',(Missing),(Missing),(Missing),FALSE,TRUE,(Missing),FALSE
3.5,160,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),TRUE,FALSE,(Missing),FALSE
3.5,686,TRUE,'full_bar',TRUE,'no',FALSE,(Missing),(Missing),TRUE,TRUE,(Missing),FALSE
3.5,62,TRUE,'full_bar',TRUE,'no',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
5,245,FALSE,'beer_and_wine',TRUE,'free',FALSE,(Missing),FALSE,FALSE,TRUE,FALSE,FALSE
4.5,182,TRUE,'none',TRUE,'free',TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
4,782,TRUE,'none',TRUE,'no',TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
4.5,735,TRUE,'beer_and_wine',TRUE,'free',TRUE,FALSE,(Missing),FALSE,TRUE,(Missing),TRUE
4,39,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),TRUE,FALSE,(Missing),TRUE
4,22,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
3.5,110,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,FALSE,TRUE
3,66,(Missing),(Missing),TRUE,(Missing),(Missing),FALSE,(Missing),(Missing),(Missing),(Missing),(Missing)
2,34,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
5,19,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),FALSE,FALSE
4.5,48,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
4,1532,TRUE,'full_bar',TRUE,'free',TRUE,(Missing),(Missing),TRUE,FALSE,FALSE,FALSE
2,13,TRUE,(Missing),TRUE,'no',(Missing),(Missing),(Missing),FALSE,(Missing),(Missing),(Missing)
3.5,514,TRUE,'none',TRUE,(Missing),TRUE,(Missing),(Missing),TRUE,TRUE,FALSE,TRUE
2,32,TRUE,'none',TRUE,'free',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
3,242,TRUE,'beer_and_wine',TRUE,'free',TRUE,(Missing),(Missing),TRUE,TRUE,(Missing),FALSE
4,120,(Missing),(Missing),TRUE,(Missing),TRUE,FALSE,(Missing),(Missing),(Missing),(Missing),FALSE
3,187,FALSE,'full_bar',TRUE,'free',TRUE,FALSE,(Missing),TRUE,TRUE,(Missing),FALSE
3.5,62,TRUE,'none',TRUE,'no',TRUE,(Missing),TRUE,TRUE,FALSE,(Missing),TRUE
4,1230,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,FALSE,FALSE
4,253,TRUE,'beer_and_wine',TRUE,'no',(Missing),(Missing),(Missing),FALSE,FALSE,FALSE,FALSE
4,28,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
3.5,373,TRUE,'full_bar',TRUE,'free',FALSE,(Missing),(Missing),FALSE,TRUE,FALSE,FALSE
4,383,TRUE,'none',TRUE,'no',FALSE,(Missing),TRUE,FALSE,FALSE,(Missing),FALSE
2.5,54,TRUE,'none',TRUE,'no',TRUE,(Missing),TRUE,TRUE,FALSE,(Missing),TRUE
5,48,TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
2.5,15,TRUE,'beer_and_wine',TRUE,'free',TRUE,(Missing),TRUE,FALSE,FALSE,TRUE,TRUE
3.5,17,FALSE,'full_bar',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3,12,TRUE,'none',TRUE,(Missing),(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
1.5,46,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
4,75,TRUE,'none',TRUE,'no',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
3.5,3,TRUE,'none',TRUE,(Missing),(Missing),(Missing),(Missing),TRUE,FALSE,(Missing),(Missing)
3.5,54,TRUE,'full_bar',TRUE,'no',(Missing),(Missing),(Missing),TRUE,TRUE,(Missing),FALSE
4,5,(Missing),(Missing),FALSE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4,3,FALSE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4,141,FALSE,'full_bar',TRUE,'no',TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
2,4,(Missing),(Missing),TRUE,(Missing),FALSE,(Missing),(Missing),(Missing),FALSE,(Missing),(Missing)
3.5,14,TRUE,'full_bar',TRUE,(Missing),(Missing),(Missing),(Missing),TRUE,FALSE,(Missing),(Missing)
4,1340,TRUE,'full_bar',TRUE,'free',FALSE,(Missing),(Missing),FALSE,TRUE,(Missing),FALSE
3.5,43,TRUE,'none',TRUE,'no',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
4.5,95,TRUE,'none',TRUE,'free',FALSE,(Missing),(Missing),FALSE,FALSE,FALSE,TRUE
2,76,TRUE,'full_bar',TRUE,'no',(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
4,41,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
2.5,81,FALSE,'full_bar',TRUE,'free',FALSE,(Missing),(Missing),TRUE,FALSE,FALSE,FALSE
3,48,TRUE,'full_bar',TRUE,'no',(Missing),(Missing),(Missing),FALSE,TRUE,(Missing),TRUE
5,4,TRUE,'none',TRUE,'no',(Missing),(Missing),(Missing),TRUE,FALSE,(Missing),TRUE
2.5,7,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
4,30,TRUE,'none',TRUE,'no',FALSE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
4,224,TRUE,'beer_and_wine',TRUE,'no',TRUE,(Missing),(Missing),FALSE,TRUE,FALSE,TRUE
4,18,TRUE,'beer_and_wine',TRUE,'no',(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
4.5,3,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
2.5,12,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
4,99,TRUE,'none',TRUE,'no',TRUE,(Missing),TRUE,FALSE,FALSE,(Missing),TRUE
4.5,1571,TRUE,'full_bar',TRUE,'free',TRUE,(Missing),TRUE,TRUE,TRUE,TRUE,TRUE
2,8,TRUE,'full_bar',TRUE,'free',(Missing),(Missing),(Missing),(Missing),TRUE,(Missing),FALSE
3,19,(Missing),'none',TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),TRUE
4.5,81,TRUE,'beer_and_wine',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3.5,353,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),FALSE,TRUE,(Missing),FALSE
3.5,45,FALSE,'full_bar',TRUE,'free',TRUE,(Missing),(Missing),FALSE,(Missing),(Missing),FALSE
3,125,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),TRUE,FALSE,(Missing),FALSE
3,4,FALSE,'full_bar',TRUE,'free',(Missing),(Missing),TRUE,FALSE,FALSE,(Missing),FALSE
4.5,1569,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),TRUE,FALSE,FALSE,TRUE
5,4,(Missing),(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
3,488,TRUE,'full_bar',TRUE,'free',FALSE,(Missing),TRUE,TRUE,TRUE,(Missing),FALSE
3.5,5,TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
4,58,TRUE,'full_bar',TRUE,'free',FALSE,(Missing),TRUE,TRUE,TRUE,(Missing),TRUE
3.5,3,(Missing),(Missing),TRUE,(Missing),(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing)
3.5,7,(Missing),'full_bar',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),(Missing)
4,12,(Missing),(Missing),TRUE,'no',(Missing),(Missing),TRUE,FALSE,FALSE,FALSE,(Missing)
2,4,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),FALSE
4.5,305,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,FALSE,TRUE
5,42,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),TRUE,TRUE
3,129,TRUE,'beer_and_wine',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
2,44,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3,111,TRUE,'beer_and_wine',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3,51,TRUE,'none',TRUE,'free',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
2.5,20,TRUE,'none',TRUE,'no',TRUE,(Missing),(Missing),FALSE,FALSE,(Missing),FALSE
3.5,50,TRUE,'full_bar',TRUE,'free',TRUE,(Missing),(Missing),FALSE,TRUE,(Missing),TRUE
3,205,TRUE,'full_bar',TRUE,'paid',FALSE,(Missing),(Missing),TRUE,TRUE,(Missing),FALSE
2.5,123,TRUE,'full_bar',TRUE,'free',TRUE,FALSE,(Missing),FALSE,FALSE,(Missing),FALSE
4.5,3,(Missing),(Missing),TRUE,(Missing),TRUE,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing)
5,12,TRUE,'none',FALSE,(Missing),FALSE,FALSE,(Missing),(Missing),FALSE,(Missing),(Missing)
3,1044,TRUE,'none',TRUE,'no',TRUE,TRUE,(Missing),FALSE,FALSE,FALSE,TRUE
4.5,1638,TRUE,'beer_and_wine',TRUE,'free',TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3.5,12,(Missing),'none',TRUE,'free',(Missing),(Missing),(Missing),(Missing),FALSE,(Missing),(Missing)
2.5,10,(Missing),(Missing),TRUE,(Missing),TRUE,FALSE,(Missing),(Missing),(Missing),(Missing),(Missing)
4.5,22,TRUE,'none',TRUE,'no',(Missing),(Missing),(Missing),FALSE,FALSE,(Missing),TRUE
4,4,(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),(Missing),FALSE,(Missing),(Missing),(Missing)
